eps_bridge,K_act,barrier,notes
0.0,2,inf (disconnected),pure stereo
0.002,1,0.000000,
0.005,1,0.000000,
0.010,1,0.000000,
0.030,1,0.000000,
0.050,1,0.000000,
0.100,1,0.000000,
0.200,1,0.000000,
0.500,1,0.000000,
1.000,1,0.000000,
1.0,1,0.0,pure flat (no bridge needed)
