condition,K_act_after_relaxation,E_start,interpretation
flat (L_flat),1,21.8768,K=1: spontaneous merger (no barrier)
"stereo (L_stereo, hard cut)",2,25.2625,"K=2: stable (barrier=inf, disconnected graph)"
