raw_index,branch_type,total_energy,E0,overlap,family_distance_to_continued,within_threshold
0,Type A candidate,17.581991597787187,17.374245504975455,0.41549218562346024,5.500598086722442,False
1,Type A candidate,17.328184723307704,17.20463693904921,0.24709556851698788,4.915000808370888,False
2,Type A candidate,17.191106832482962,17.087537892811035,0.20713787934385375,4.737012395581171,False
3,Type A candidate,18.793191560677325,18.714087438869296,0.15820824361606164,4.9098158281257,False
4,Type A candidate,15.71580289528744,15.6638490315278,0.1039077275192801,5.05489629528195,False
5,Type A candidate,16.89557938851716,16.774767285843268,0.24162420534777995,4.759882223298058,False
6,Type A candidate,15.895798047207622,15.752422670997163,0.2867507524209171,4.359247686295529,False
7,Type A candidate,16.85696685479578,16.666983318747373,0.37996707209681263,4.082968154455924,False
8,Type A candidate,17.43783891538136,17.22341206993741,0.42885369088789754,4.667991877016197,False
9,Type A candidate,14.530738469883751,14.475893875185289,0.1096891893969258,3.8895355907368234,True
10,Type A candidate,13.217750497366422,13.164390444584168,0.10672010556450942,4.508674781415502,False
11,Type A candidate,18.25637056366335,17.996541465598728,0.5196581961292406,5.409236900213219,False
12,Type A candidate,15.343062885932978,15.243608102717639,0.19890956643067734,4.619315079942756,False
13,Type A candidate,20.368461251716035,20.01355115560165,0.7098201922287665,5.421818350086374,False
14,Type A candidate,16.847494902118157,16.78940192515273,0.11618595393085286,4.902992566662918,False
15,Type A candidate,15.235680772278997,15.19091161444731,0.08953831566337186,4.7758222462849895,False
