sigma,trial,branch_type,family_distance_to_continued,within_threshold,E0,overlap
0.005,0,Type B candidate,0.182379957327989,True,17.543857310114273,0.034669946103417414
0.005,1,Type B candidate,0.160844569410252,True,17.54082159388333,0.034851220404495876
0.005,2,Type B candidate,0.16271894975340595,True,17.53683706845279,0.03510677946023725
0.005,3,Type B candidate,0.12429613405879492,True,17.55352321393478,0.034310866768271116
0.005,4,Type B candidate,0.13276512364708493,True,17.554748862627683,0.0340400641701474
0.005,5,Type B candidate,0.13214381397499136,True,17.555438552329306,0.0345880057688861
0.005,6,Type B candidate,0.15772099392767694,True,17.556396622105225,0.0340135849036305
0.005,7,Type B candidate,0.1626171168797264,True,17.53773926578708,0.03517752911612278
0.005,8,Type B candidate,0.18141661224239072,True,17.55542521051768,0.0344431980250101
0.005,9,Type B candidate,0.16265631169893538,True,17.53846681070241,0.03555614106574852
0.005,10,Type B candidate,0.1836586706533918,True,17.540054557137708,0.03473045576457519
0.005,11,Type B candidate,0.15810609527439076,True,17.55725928920002,0.03367836858298687
0.01,0,Type B candidate,0.15925253600484063,True,17.547821445500894,0.0344073137633296
0.01,1,Type B candidate,0.1345644091726495,True,17.541560837147287,0.034836862653676276
0.01,2,Type B candidate,0.1389559702718214,True,17.533686457842492,0.03524418015890194
0.01,3,Type B candidate,0.1552481053753326,True,17.536378226994756,0.03519365314650934
0.01,4,Type B candidate,0.13213205266976313,True,17.554759734095626,0.03385822346831095
0.01,5,Type B candidate,0.15972220275893811,True,17.541623329029008,0.03567117789429091
0.01,6,Type B candidate,0.18112210887533467,True,17.543655358194417,0.03463175294549666
0.01,7,Type B candidate,0.1635472016010674,True,17.535479744226556,0.03539059364407312
0.01,8,Type B candidate,0.18426183399263568,True,17.541055163529435,0.03548822948886892
0.01,9,Type B candidate,0.1853637485082336,True,17.536134094491608,0.03611181216374241
0.01,10,Type B candidate,0.1839385566387002,True,17.539922933901504,0.03449767970726618
0.01,11,Type B candidate,0.1818115536152139,True,17.54486046048296,0.0338337606577319
0.02,0,Type B candidate,0.1307392817565715,True,17.555148891726056,0.033964534540882226
0.02,1,Type B candidate,0.15038932978453445,True,17.542666917130397,0.03503705204877292
0.02,2,Type B candidate,0.14130073586308986,True,17.527029245240715,0.035493502942313696
0.02,3,Type B candidate,0.15663977912613994,True,17.53221893633415,0.035438545016633904
0.02,4,Type B candidate,0.1337932870661224,True,17.540231023209742,0.03401545579249235
0.02,5,Type B candidate,0.13199320179086424,True,17.542990687885045,0.036366773394679544
0.02,6,Type B candidate,0.17899763683632036,True,17.546737911683095,0.034334905892467946
0.02,7,Type B candidate,0.1314721344758358,True,17.531173263247346,0.03579656619226699
0.02,8,Type B candidate,0.1850974693539147,True,17.54253100881371,0.03600300091344996
0.02,9,Type B candidate,0.1808655274232311,True,17.531025105302028,0.03714840116396237
0.02,10,Type B candidate,0.18430777264392714,True,17.54009565718858,0.03401021437057561
0.02,11,Type B candidate,0.18011489583418863,True,17.550352767619266,0.032543725876493595
0.03,0,Type B candidate,0.12810355192530792,True,17.56093183677246,0.03344514989692091
0.03,1,Type B candidate,0.148625519845683,True,17.54390845439734,0.03550193839983028
0.03,2,Type B candidate,0.167406330544616,True,17.520120853918968,0.035728553155077655
0.03,3,Type B candidate,0.18704704965912086,True,17.527755299742118,0.035717747629233326
0.03,4,Type B candidate,0.1316234380145903,True,17.541249687234135,0.03342322612475819
0.03,5,Type B candidate,0.1298352352937974,True,17.544104392743904,0.03702391816436162
0.03,6,Type B candidate,0.1769668428426778,True,17.54944109402391,0.034051440466781296
0.03,7,Type B candidate,0.14262998121888454,True,17.52688977283225,0.03622857569721913
0.03,8,Type B candidate,0.16436234199340657,True,17.54440592506166,0.036463978924755065
0.03,9,Type B candidate,0.18993151350806045,True,17.525292857074447,0.03809207178782481
0.03,10,Type B candidate,0.184500619980804,True,17.541032917982903,0.033533686308310696
0.03,11,Type B candidate,0.17844151412361295,True,17.55636236590466,0.031220650741647683
0.05,0,Type B candidate,0.12293703256913475,True,17.57314370066345,0.03185599987701682
0.05,1,Type B candidate,0.14492564818386977,True,17.546331347697112,0.03668391070116088
0.05,2,Type B candidate,0.1704728672415566,True,17.503431412594104,0.03674713510732629
0.05,3,Type B candidate,0.1824282935197664,True,17.51790666305461,0.03656312737588038
0.05,4,Type B candidate,0.11624342249472074,True,17.54481365232573,0.032181702682318764
0.05,5,Type B candidate,0.11535471361077763,True,17.545385765142754,0.03826237872970478
0.05,6,Type B candidate,0.17362255549601519,True,17.552773351203445,0.033512539923861176
0.05,7,Type B candidate,0.1694185241869609,True,17.519199707099638,0.03705565924456925
0.05,8,Type B candidate,0.1658448530044917,True,17.546980753315488,0.03921406488923039
0.05,9,Type B candidate,0.19394992236299646,True,17.512896740666406,0.04125033974453779
0.05,10,Type B candidate,0.16245489676598934,True,17.544212719764833,0.03251856566879041
0.05,11,Type B candidate,0.1960869405235373,True,17.569690435221027,0.0286643246051213
0.08,0,Type B candidate,0.14440779588530808,True,17.591061995286026,0.02976510444408138
0.08,1,Type B candidate,0.14867640943787483,True,17.549742839770914,0.038373776423760234
0.08,2,Type B candidate,0.17333160750860446,True,17.483680409977215,0.037852078916719704
0.08,3,Type B candidate,0.18468032313827135,True,17.503236759673143,0.03903683653305559
0.08,4,Type B candidate,0.1374275350984646,True,17.55529475424531,0.029911576990545388
0.08,5,Type B candidate,0.10928222533542732,True,17.54508308419871,0.03984498886644505
0.08,6,Type B candidate,0.16304471488643565,True,17.555005923285044,0.03337030950578662
0.08,7,Type B candidate,0.17138599029647764,True,17.509308826639213,0.03838138183343469
0.08,8,Type B candidate,0.16739320928514495,True,17.55270386357917,0.04221964511803038
0.08,9,Type B candidate,0.1928712037024217,True,17.49245937817473,0.04608584235802094
0.08,10,Type B candidate,0.15328911417273308,True,17.549632414956136,0.031256214621797174
0.08,11,Type B candidate,0.19698514938215417,True,17.589434399440513,0.023869370525252877
0.1,0,Type B candidate,0.1404990098885578,True,17.59946329511487,0.031345072135332955
0.1,1,Type B candidate,0.13785923712854412,True,17.5530548930904,0.04082826797321816
0.1,2,Type B candidate,0.17401345563442833,True,17.476316711775496,0.038577387088380974
0.1,3,Type B candidate,0.18526297365508734,True,17.493333866841915,0.04264637232391212
0.1,4,Type B candidate,0.1331068231544848,True,17.565856262017487,0.0288799917676347
