config,grid_size,n,c_ref,epsilon,mass1,mass2,x1,y1,x2,y2,pair_mid_x,pair_mid_y,center_offset,center_offset_norm,d_c,theta,theta_mod_pi,delta_theta_mod_pi,hard_overlap,soft_overlap,d_min,lambda_coupling,regime_lambda,regime_geometric,total_energy,swap_from_previous,elapsed_s
20x20_c0.6,20,400,0.6,-3.0,117.00000000000054,122.9999999999992,3.110470395289338,7.560174244685718,15.092653103734945,11.41431514424888,9.101561749512141,9.487244694467298,0.3986423676317634,0.020981177243777023,12.586782930211294,0.31120439407097994,0.3112043940709799,0.0026885317236373663,0.0,0.0,3.0,0.0,well-separated,well-separated,14.512103583019776,False,7.735762119293213
20x20_c0.6,20,400,0.6,-2.0,118.0000000000007,121.99999999999989,3.1313647767417736,7.582902811247391,15.095291549599905,11.43487552658334,9.11332816317084,9.508889168915365,0.3867739995408723,0.02035652629162486,12.56874049481507,0.3114849336835026,0.3114849336835026,0.0029690713361600896,0.0,0.0,3.0,0.0,well-separated,well-separated,14.529145684340216,False,7.2794349193573
20x20_c0.6,20,400,0.6,-1.0,118.99999999999908,121.00000000000097,3.1510396432444394,7.604447833062973,15.095585843751977,11.45773512749632,9.123312743498207,9.531091480279647,0.377968212098355,0.019893063794650265,12.550697467053396,0.3120578845389214,0.31205788453892147,0.003542022191578953,0.0,0.0,3.0,0.0,well-separated,well-separated,14.548682233824607,False,6.2574968338012695
20x20_c0.6,20,400,0.6,-0.5,119.5000000000002,120.50000000000026,3.160638922974472,7.6160834039218726,15.096449807070892,11.46824036203963,9.128544365022682,9.542161882980752,0.3738407590577639,0.01967582942409284,12.542037102914724,0.31218594604243555,0.31218594604243544,0.0036700836950929183,0.0,0.0,3.0,0.0,well-separated,well-separated,14.557402810414963,False,7.230693101882935
20x20_c0.6,20,400,0.6,0.0,119.999999999999,120.0000000000007,3.170015955389244,7.627118059481148,15.098165331379347,11.477887845299565,9.134090643384296,9.552502952390356,0.36965689127706336,0.019455625856687545,12.534319904937206,0.31226836219291126,0.3122683621929112,0.003752499845568691,0.0,0.0,3.0,0.0,well-separated,well-separated,14.56499203340397,False,16.93639326095581
20x20_c0.6,20,400,0.6,0.5,120.50000000000001,119.49999999999943,3.1789653875655244,7.63746010848484,15.100193797177592,11.487551558638796,9.139579592371557,9.562505833561818,0.365800286309771,0.019252646647882687,12.527525332989372,0.312386559143244,0.312386559143244,0.0038706967959014627,0.0,0.0,3.0,0.0,well-separated,well-separated,14.5720280840922,False,11.967707872390747
20x20_c0.6,20,400,0.6,1.0,121.00000000000031,119.00000000000048,3.187424128167317,7.647334225978366,15.10261802030103,11.497650056570926,9.145021074234172,9.572492141274646,0.36230532467028986,0.019068701298436307,12.521851998903845,0.3125517194357421,0.3125517194357421,0.004035857088399597,0.0,0.0,3.0,0.0,well-separated,well-separated,14.57902550345515,False,20.98998188972473
20x20_c0.6,20,400,0.6,2.0,122.00000000000013,117.99999999999906,3.205699471378873,7.6640176277590655,15.10915095401348,11.517920205158534,9.157425212696175,9.590968916458799,0.354447215616019,0.01865511661136942,12.511783337139526,0.3131130801362679,0.3131130801362678,0.004597217788925301,0.0,0.0,3.0,0.0,well-separated,well-separated,14.593505392528009,False,6.738929033279419
20x20_c0.6,20,400,0.6,3.0,122.9999999999999,117.00000000000041,3.226017653340001,7.6817537428092235,15.116711425685855,11.536682723706852,9.171364539512927,9.609218233258037,0.3463089493004149,0.018226786805284993,12.499963033364097,0.3135055735052015,0.3135055735052015,0.004989711157858956,0.0,0.0,4.0,0.0,well-separated,well-separated,14.609053930643377,False,6.499055862426758
