config,grid_size,n,c_ref,epsilon,mass1,mass2,x1,y1,x2,y2,pair_mid_x,pair_mid_y,center_offset,center_offset_norm,d_c,theta,theta_mod_pi,delta_theta_mod_pi,hard_overlap,soft_overlap,d_min,lambda_coupling,regime_lambda,regime_geometric,total_energy,swap_from_previous,elapsed_s
20x20_c0.6,20,400,0.6,-3.0,116.99999999999959,122.99999999999922,2.6882873362498922,9.574946076228741,14.884852469198263,10.468129117658087,8.786569902724077,10.021537596943414,0.8837329736547371,0.04651226177130195,12.229226344611865,0.07310184822906052,0.07310184822906063,-0.014565622424294489,0.0,0.0,5.0,0.0,well-separated,well-separated,14.89018336900129,False,7.142848014831543
20x20_c0.6,20,400,0.6,-2.0,117.9999999999992,122.00000000000053,2.707668808662896,9.588387103728575,14.881440895742088,10.478381355327524,8.794554852202491,10.03338422952805,0.8843933473631967,0.04654701828227351,12.20626136849558,0.07297768709911064,0.07297768709911057,-0.014689783554244551,0.0,0.0,5.0,0.0,well-separated,well-separated,14.893351344295583,False,7.30442214012146
20x20_c0.6,20,400,0.6,-1.0,119.0000000000005,121.0000000000002,2.723987412046316,9.587675401838702,14.876053814088497,10.48195653450378,8.800020613067407,10.034815968171241,0.8809082029028173,0.04636358962646407,12.184927434493941,0.07345845286629206,0.07345845286629205,-0.014209017787063072,0.0,0.0,5.0,0.0,well-separated,well-separated,14.90734001335143,False,8.54820203781128
20x20_c0.6,20,400,0.6,-0.5,119.49999999999955,120.50000000000077,2.7317503200735813,9.587129709756256,14.871924892658699,10.480693035685634,8.80183760636614,10.033911372720945,0.8789152870472358,0.046258699318275566,12.173014995073663,0.07347134195376237,0.07347134195376226,-0.014196128699592858,0.0,0.0,5.0,0.0,well-separated,well-separated,14.917050676726149,False,8.259274959564209
20x20_c0.6,20,400,0.6,0.0,119.99999999999929,119.99999999999943,2.7393244895709103,9.586626884206407,14.867248703876433,10.477984348236605,8.803286596723671,10.032305616221507,0.8767889343313147,0.046146786017437616,12.160635833566458,0.07336438453771352,0.07336438453771343,-0.014303086115641683,0.0,0.0,5.0,0.0,well-separated,well-separated,14.927807954689682,False,7.014029026031494
20x20_c0.6,20,400,0.6,0.5,120.49999999999991,119.4999999999995,2.7468878465375144,9.586171067803466,14.862846773767256,10.475133756472964,8.804867310152385,10.030652412138215,0.874529267093381,0.04602785616280952,12.14852729297525,0.0732399830523576,0.07323998305235757,-0.014427487600997546,0.0,0.0,4.0,0.0,well-separated,well-separated,14.93850705665552,False,7.441256046295166
20x20_c0.6,20,400,0.6,1.0,121.00000000000023,119.00000000000003,2.7551968490755527,9.58539389687263,14.859445102907966,10.471302961851851,8.80732097599176,10.02834842936224,0.8711809760954116,0.04585163032081113,12.13662476398679,0.07305965989807853,0.07305965989807861,-0.014607810755276507,0.0,0.0,4.0,0.0,well-separated,well-separated,14.948912937567236,False,6.6534552574157715
20x20_c0.6,20,400,0.6,2.0,122.0,117.99999999999943,2.776797835323718,9.579085452434812,14.857453679737016,10.457734542158294,8.817125757530366,10.018409997296553,0.8573599922584959,0.045124210118868205,12.112566608858302,0.07260405969510633,0.0726040596951063,-0.015063410958248813,0.0,0.0,4.0,0.0,well-separated,well-separated,14.966512391906905,False,6.426992893218994
20x20_c0.6,20,400,0.6,3.0,122.99999999999935,117.00000000000068,2.787964146041086,9.574329930546261,14.858370884344689,10.449735911337827,8.823167515192887,10.012032920942044,0.8486930685581284,0.0446680562399015,12.102109504515758,0.07239822022579372,0.07239822022579379,-0.015269250427561332,0.0,0.0,4.0,0.0,well-separated,well-separated,14.98235080808055,False,6.315831661224365
