key,branch,source_lambda,init_index,eval_lambda,E_lambda,E0,overlap,center_offset_norm,separation,branch_type
Type A candidate|co0.05|ov0.5|sep5.3,cand_lam0_init0,0.0,0,0,5.672308858820492,5.672308858820492,0.5284243322626634,0.04939815122113884,5.342760480319587,Type A candidate
Type A candidate|co0.05|ov0.5|sep5.3,cand_lam0_init0,0.0,0,0.01,5.677593102143119,5.672308858820492,0.5284243322626634,0.04939815122113884,5.342760480319587,Type A candidate
Type A candidate|co0.05|ov0.5|sep5.3,cand_lam0_init0,0.0,0,0.05,5.698730075433625,5.672308858820492,0.5284243322626634,0.04939815122113884,5.342760480319587,Type A candidate
Type A candidate|co0.05|ov0.5|sep5.3,cand_lam0_init0,0.0,0,0.1,5.725151292046759,5.672308858820492,0.5284243322626634,0.04939815122113884,5.342760480319587,Type A candidate
Type A candidate|co0.05|ov0.5|sep5.3,cand_lam0_init0,0.0,0,0.5,5.936521024951824,5.672308858820492,0.5284243322626634,0.04939815122113884,5.342760480319587,Type A candidate
Type A candidate|co0.05|ov0.5|sep5.3,cand_lam0_init0,0.0,0,1,6.200733191083156,5.672308858820492,0.5284243322626634,0.04939815122113884,5.342760480319587,Type A candidate
Type A candidate|co0.05|ov0.5|sep5.3,cand_lam0_init0,0.0,0,5,8.31443052013381,5.672308858820492,0.5284243322626634,0.04939815122113884,5.342760480319587,Type A candidate
Type A candidate|co0.06|ov0.0|sep5.7,cand_lam0_init1,0.0,1,0,5.9137139882338134,5.9137139882338134,0.025341910312344413,0.05561765352412932,5.743982494824516,Type A candidate
Type A candidate|co0.06|ov0.0|sep5.7,cand_lam0_init1,0.0,1,0.01,5.913967407336937,5.9137139882338134,0.025341910312344413,0.05561765352412932,5.743982494824516,Type A candidate
Type A candidate|co0.06|ov0.0|sep5.7,cand_lam0_init1,0.0,1,0.05,5.9149810837494305,5.9137139882338134,0.025341910312344413,0.05561765352412932,5.743982494824516,Type A candidate
Type A candidate|co0.06|ov0.0|sep5.7,cand_lam0_init1,0.0,1,0.1,5.916248179265048,5.9137139882338134,0.025341910312344413,0.05561765352412932,5.743982494824516,Type A candidate
Type A candidate|co0.06|ov0.0|sep5.7,cand_lam0_init1,0.0,1,0.5,5.926384943389985,5.9137139882338134,0.025341910312344413,0.05561765352412932,5.743982494824516,Type A candidate
Type A candidate|co0.06|ov0.0|sep5.7,cand_lam0_init1,0.0,1,1,5.939055898546158,5.9137139882338134,0.025341910312344413,0.05561765352412932,5.743982494824516,Type A candidate
Type A candidate|co0.06|ov0.0|sep5.7,cand_lam0_init1,0.0,1,5,6.040423539795536,5.9137139882338134,0.025341910312344413,0.05561765352412932,5.743982494824516,Type A candidate
Type A candidate|co0.03|ov0.1|sep5.3,cand_lam0_init2,0.0,2,0,6.203504644520281,6.203504644520281,0.12298554663617288,0.030733288704649468,5.327208042591261,Type A candidate
Type A candidate|co0.03|ov0.1|sep5.3,cand_lam0_init2,0.0,2,0.01,6.204734499986643,6.203504644520281,0.12298554663617288,0.030733288704649468,5.327208042591261,Type A candidate
Type A candidate|co0.03|ov0.1|sep5.3,cand_lam0_init2,0.0,2,0.05,6.20965392185209,6.203504644520281,0.12298554663617288,0.030733288704649468,5.327208042591261,Type A candidate
Type A candidate|co0.03|ov0.1|sep5.3,cand_lam0_init2,0.0,2,0.1,6.215803199183899,6.203504644520281,0.12298554663617288,0.030733288704649468,5.327208042591261,Type A candidate
Type A candidate|co0.03|ov0.1|sep5.3,cand_lam0_init2,0.0,2,0.5,6.264997417838368,6.203504644520281,0.12298554663617288,0.030733288704649468,5.327208042591261,Type A candidate
Type A candidate|co0.03|ov0.1|sep5.3,cand_lam0_init2,0.0,2,1,6.326490191156454,6.203504644520281,0.12298554663617288,0.030733288704649468,5.327208042591261,Type A candidate
Type A candidate|co0.03|ov0.1|sep5.3,cand_lam0_init2,0.0,2,5,6.8184323777011455,6.203504644520281,0.12298554663617288,0.030733288704649468,5.327208042591261,Type A candidate
