sigma,trial,branch_type,family_distance_to_continued,within_threshold,E0,overlap
0.01,0,Type B candidate,0.1258191273511795,True,17.48675560878232,0.03948926637449955
0.01,1,Type B candidate,0.14552597191042485,True,17.47602554752308,0.041459494073806336
0.01,2,Type B candidate,0.15799421998071966,True,17.46809282194083,0.04052870836761825
0.01,3,Type B candidate,0.16519077039613,True,17.471275162671002,0.040892017870489114
0.01,4,Type B candidate,0.12383353090281075,True,17.49178120133857,0.03858763331367805
0.01,5,Type B candidate,0.12691080858553055,True,17.480129520497577,0.04103926920119092
0.01,6,Type B candidate,0.12560796989708964,True,17.482152398788315,0.03996581815048055
0.01,7,Type B candidate,0.15763670278893416,True,17.471151501884997,0.04092081150121826
0.02,0,Type B candidate,0.1222724817584882,True,17.49650779729162,0.038544987730300885
0.02,1,Type B candidate,0.14379227475268114,True,17.474444673877144,0.04320800461652567
0.02,2,Type B candidate,0.1601301267127421,True,17.459198335430674,0.04085352242978091
0.02,3,Type B candidate,0.14252900091740783,True,17.464871558173947,0.041588727756631715
0.02,4,Type B candidate,0.1353761265637324,True,17.47595092757618,0.0387873943248192
0.02,5,Type B candidate,0.12458424476920564,True,17.483189705129597,0.04176837699288786
0.02,6,Type B candidate,0.12204618771358934,True,17.486734692560436,0.04014878972720088
0.02,7,Type B candidate,0.15933034539003302,True,17.46584363755744,0.04152145361012353
0.05,0,Type B candidate,0.11225687818275747,True,17.520911608091588,0.0349415612392074
0.05,1,Type B candidate,0.13832977298150836,True,17.469610284691832,0.048199834435796104
0.05,2,Type B candidate,0.1396886015986371,True,17.433380725098928,0.0419067155839263
0.05,3,Type B candidate,0.13892331979956937,True,17.442837683632376,0.04417536160140511
0.05,4,Type B candidate,0.126852163086386,True,17.479473296989358,0.035704735452864775
0.05,5,Type B candidate,0.10654150315783377,True,17.490197422287586,0.043685519368790275
0.05,6,Type B candidate,0.10134969093236539,True,17.494725133342335,0.04148166582920275
0.05,7,Type B candidate,0.14680349352166908,True,17.450450709134014,0.043801332897340214
0.1,0,Type B candidate,0.13086356832507545,True,17.552825350071558,0.029667997176004587
0.1,1,Type B candidate,0.2094315508181404,True,17.470672111325857,0.050014648040713726
0.1,2,Type B candidate,0.18718427396374154,True,17.4035376086929,0.04324716126361721
0.1,3,Type B candidate,0.18225961621638934,True,17.41094387186665,0.05196261542096893
0.1,4,Type B candidate,0.0860330094889868,True,17.5004008871284,0.030462727304885126
0.1,5,Type B candidate,0.09556876212383457,True,17.490160869308824,0.046197221304722806
0.1,6,Type B candidate,0.10688690608094502,True,17.49197638068632,0.04607941941726373
0.1,7,Type B candidate,0.14970866615547435,True,17.42298013074551,0.05041057759886123
