direction,lambda_rep,E_lambda,E0_inferred,overlap,center_offset_norm,separation,branch_type,regime_lambda,field_l2_step,field_linf_step,center_step,jump_flag
up,0.0,12.814091094897186,12.814091094897186,7.3368758213860605,0.015543896953027658,2.4972968344468636,Type A candidate,strongly-interacting,0.0,0.0,0.0,False
up,0.1,4.7801220527340575,4.779955953828287,0.0016609890577108043,0.018498789453802265,6.397284013766953,Type A candidate,weakly-interacting,0.3937095401463479,0.5876768735539307,0.2195461041259474,True
up,0.5,4.668344124292064,4.668344124292064,0.0,0.01752603695227807,6.464258606838759,Type A candidate,weakly-interacting,0.052831400560669664,0.22628491059030492,0.012585418451173187,False
up,1.0,4.640522862865392,4.640522862865392,0.0,0.019506704253203003,6.462883713856402,Type A candidate,weakly-interacting,0.027957536000209393,0.16931553630817833,0.007513120991470447,False
down,0.0,4.773925013362982,4.773925013362982,0.0,0.06014754224808072,6.37995643376859,Type A candidate,weakly-interacting,0.04313945811882279,0.16455756488580142,0.01592202178151025,False
down,0.1,4.836507826537759,4.836507826537759,0.0,0.04823328149355714,6.347097762305169,Type A candidate,well-separated,0.06847977965688118,0.2525317874962932,0.027445709431559936,False
down,0.5,4.997677810234455,4.997677810234455,0.0,0.0307440045219283,6.243061327515971,Type A candidate,well-separated,0.13525768355144888,0.3323387837500369,0.055350554689369454,False
down,1.0,5.899044421678055,5.898979785112393,6.463656566289545e-05,0.005476188137377629,5.670578601962808,Type A candidate,weakly-interacting,0.0,0.0,0.0,False
