config,grid_size,n,c_ref,epsilon,mass1,mass2,x1,y1,x2,y2,pair_mid_x,pair_mid_y,center_offset,center_offset_norm,d_c,theta,theta_mod_pi,delta_theta_mod_pi,hard_overlap,soft_overlap,d_min,lambda_coupling,regime_lambda,regime_geometric,total_energy,swap_from_previous,elapsed_s
20x20_c0.6,20,400,0.6,-3.0,116.99999999999949,122.99999999999939,3.9538485842580817,5.958322365461046,14.568129189019288,5.896807618842208,9.260988886638685,5.927564992151627,3.580421511164687,0.18844323742972036,10.614458856703976,-0.005795405286044233,-0.005795405286044275,0.0168693774195936,10.0,0.011639405020819319,0.0,0.0,weakly-interacting,weakly-interacting,13.41283892768369,False,7.8523759841918945
20x20_c0.6,20,400,0.6,-2.0,117.99999999999973,121.9999999999992,3.9733389484682338,5.996044740967115,14.583417241646458,5.876385600384523,9.278378095057345,5.936215170675819,3.5706692059712832,0.1879299582090149,10.610753022160901,-0.011277397253429485,-0.011277397253429466,0.01138738545220841,5.0,0.01151713295950963,0.0,0.0,weakly-interacting,weakly-interacting,13.398621649439086,False,7.215260982513428
20x20_c0.6,20,400,0.6,-1.0,119.00000000000075,121.00000000000034,3.991689552866649,6.0303376239867985,14.60001589913314,5.853592024956754,9.295852725999895,5.941964824471777,3.5638869819030212,0.18757299904752744,10.60979862559456,-0.016659484420762975,-0.016659484420763038,0.006005298284874838,3.0,0.011447317105998814,0.0,0.0,weakly-interacting,weakly-interacting,13.387943540816872,False,6.198257923126221
20x20_c0.6,20,400,0.6,-0.5,119.49999999999956,120.50000000000071,4.000226710552688,6.0461291333282965,14.610071133482823,5.8394573264779055,9.305148922017755,5.942793229903101,3.562539395966598,0.1875020734719262,10.611857137868398,-0.01947678633469392,-0.019476786334693852,0.003187996370944024,3.0,0.01145518079210036,0.0,0.0,weakly-interacting,weakly-interacting,13.384010139782056,False,7.178375959396362
20x20_c0.6,20,400,0.6,0.0,120.00000000000009,120.0000000000005,4.009914671316952,6.059558021261361,14.622700575244156,5.822864853670366,9.316307623280554,5.9412114374658636,3.5635261921429207,0.1875540101127853,10.615425017312319,-0.02229894554499508,-0.02229894554499512,0.00036583716064275684,3.0,0.011518787063267298,0.0,0.0,weakly-interacting,weakly-interacting,13.38059890959924,False,17.498135089874268
20x20_c0.6,20,400,0.6,0.5,120.49999999999945,119.4999999999992,4.017031906140407,6.074147669199069,14.635383350826618,5.804930602008755,9.326207628483512,5.939539135603912,3.5646998969469315,0.1876157840498385,10.621763753357365,-0.0253485114501724,-0.025348511450172362,-0.002683728744534486,3.0,0.011578514821571842,0.0,0.0,weakly-interacting,weakly-interacting,13.377268759302101,False,11.550654888153076
20x20_c0.6,20,400,0.6,1.0,121.00000000000014,118.99999999999986,4.021380622780898,6.092639587948295,14.646892683091684,5.787739060145468,9.33413665293629,5.940189324046882,3.5636726418863125,0.18756171799401644,10.62988574142095,-0.028687265258673593,-0.0286872652586736,-0.006022482553035724,3.0,0.011699755989574026,0.0,0.0,weakly-interacting,weakly-interacting,13.374019666480613,False,20.965787172317505
20x20_c0.6,20,400,0.6,2.0,122.00000000000003,118.00000000000009,4.036827556212867,6.125183652400203,14.66801433154412,5.757671447711046,9.352420943878492,5.941427550055625,3.5616312918814073,0.18745427852007407,10.637537190185217,-0.03455549421544179,-0.034555494215441795,-0.01189071150980392,3.0,0.012008335680023368,0.0,0.0,weakly-interacting,weakly-interacting,13.369480630092005,False,6.646281003952026
20x20_c0.6,20,400,0.6,3.0,123.00000000000013,117.00000000000048,4.053871104415347,6.159409205826281,14.687716412363752,5.7289442059519775,9.37079375838955,5.944176705889129,3.5581699723049467,0.1872721038055235,10.642554493611629,-0.04045856286229664,-0.040458562862296654,-0.01779378015665878,3.0,0.012258960631266623,0.0,0.0,weakly-interacting,weakly-interacting,13.367535915871313,False,6.476337194442749
