config,grid_size,n,c_ref,epsilon,mass1,mass2,x1,y1,x2,y2,pair_mid_x,pair_mid_y,center_offset,center_offset_norm,d_c,theta,theta_mod_pi,delta_theta_mod_pi,hard_overlap,soft_overlap,d_min,lambda_coupling,regime_lambda,regime_geometric,total_energy,swap_from_previous,elapsed_s
20x20_c0.6,20,400,0.6,-3.0,117.00000000000011,123.00000000000085,2.63778169500565,9.224602541917326,14.924889293945487,10.632842582233323,8.781335494475568,9.928722562075325,0.8368283615730928,0.0440435979775312,12.367544346355675,0.11411327609324627,0.11411327609324617,-0.005817437253743618,0.0,0.0,5.0,0.0,well-separated,well-separated,14.753445748716038,False,7.050307750701904
20x20_c0.6,20,400,0.6,-2.0,117.99999999999977,121.99999999999933,2.6505033148314383,9.209032434027108,14.921437864087892,10.619556523419018,8.785970589459666,9.914294478723063,0.8255167558668882,0.04344825030878359,12.351737242950504,0.11444608360051788,0.11444608360051789,-0.005484629746471903,0.0,0.0,5.0,0.0,well-separated,well-separated,14.778615529163355,False,7.261478900909424
20x20_c0.6,20,400,0.6,-1.0,118.99999999999933,120.99999999999946,2.681541405403327,9.153167337319998,14.917193401336997,10.612802983077628,8.799367403370162,9.882985160198814,0.7984758408322571,0.04202504425432932,12.322407069398489,0.11873254974960908,0.118732549749609,-0.0011981635973807858,0.0,0.0,5.0,0.0,well-separated,well-separated,14.831645390652996,False,8.527864217758179
20x20_c0.6,20,400,0.6,-0.5,119.5000000000002,120.50000000000088,2.7330654625129944,9.04514311185174,14.921680028794812,10.61086172301065,8.827372745653904,9.828002417431195,0.7483401693948256,0.03938632470499082,12.288767221113218,0.12775781325269425,0.1277578132526942,0.007827099905704404,0.0,0.0,5.0,0.0,well-separated,well-separated,14.874229117427777,False,7.975466966629028
20x20_c0.6,20,400,0.6,0.0,119.99999999999937,120.00000000000051,2.745255581301291,9.027248167829763,14.923062932457038,10.609892533380123,8.834159256879165,9.818570350604944,0.7381266581585187,0.038848771482027304,12.280218038360362,0.12923700282416856,0.1292370028241685,0.009306289477178709,0.0,0.0,5.0,0.0,well-separated,well-separated,14.880743931965943,False,7.290401220321655
20x20_c0.6,20,400,0.6,0.5,120.49999999999906,119.49999999999966,2.7557919971574347,9.012948562781132,14.925168272911913,10.609511699962773,8.840480135034674,9.811230131371953,0.7292671986026004,0.038382484136978964,12.273660122062335,0.1304501108998267,0.1304501108998266,0.010519397552836818,0.0,0.0,5.0,0.0,well-separated,well-separated,14.887267659744003,False,7.462445974349976
20x20_c0.6,20,400,0.6,1.0,120.99999999999942,118.99999999999967,2.765413757287764,9.00071361251737,14.928081492393154,10.609714618335618,8.846747624840459,9.805214115426494,0.7210369767960302,0.037949314568212114,12.268633610606269,0.13152642000536707,0.13152642000536696,0.01159570665837717,0.0,0.0,5.0,0.0,well-separated,well-separated,14.894110550348422,False,6.723409175872803
20x20_c0.6,20,400,0.6,2.0,122.00000000000036,118.00000000000092,2.785289054308965,8.97717304279323,14.9352867076991,10.61003461688864,8.860287881004034,9.793603829840936,0.7038712979569312,0.037045857787206905,12.259228356529752,0.13359148874042556,0.13359148874042548,0.013660775393435687,0.0,0.0,5.0,0.0,well-separated,well-separated,14.909077890028879,False,6.515613079071045
20x20_c0.6,20,400,0.6,3.0,123.00000000000048,116.9999999999995,2.803680070077632,8.957470092998113,14.943718801465055,10.609953975948054,8.873699435771343,9.783712034473083,0.6875644808001578,0.03618760425263988,12.25198936430309,0.13528704652397203,0.13528704652397194,0.015356333176982151,0.0,0.0,5.0,0.0,well-separated,well-separated,14.925600900435462,False,6.370307207107544
