config,lambda_rep,lambda_bar,n_images,n_iter,step,spring,source_energy,initial_max_delta,relaxed_max_delta,improvement,improvement_frac,initial_max_index,relaxed_max_index,max_mass_error,max_simplex_violation,max_box_low_violation,max_box_high_violation,history_monotone,history_max_increase
10x10:0.6,0.0,100.0,7,25,0.001,0.05,14.973882968499455,0.0,0.0,0.0,0.0,0,0,1.8829382497642655e-12,0.0,0.0,0.0,True,0.0
10x10:0.6,1.0,100.0,7,25,0.001,0.05,6.3701877818951225,9.506984967976965,9.183101040988246,0.32388392698871904,0.0340679961186096,3,3,6.963318810448982e-13,0.0,0.0,0.0,True,-0.052062153329289984
10x10:0.6,5.0,100.0,7,25,0.001,0.05,7.692217401070863,33.20333672813752,29.397536578817736,3.8058001493197864,0.11462101476369498,3,3,4.192202140984591e-13,0.0,0.0,0.0,True,-0.5817585517648496
