target_lambda,branch_type,E0,overlap,center_offset_norm,separation,family_distance_from_base,within_threshold
0.05,Type B candidate,18.992502605652632,1.928690432414032,0.12299544964767906,5.7229263048947265,2.3344384506177938,True
0.1,Type B candidate,19.012002438986762,1.208757402682648,0.12183919257288763,5.755749943383425,3.190994198909814,True
0.2,Type B candidate,19.048174093751193,0.5127604776789677,0.12068916270899573,5.796575484930247,4.281577718440123,True
0.5,Mixed/ambiguous,19.10858547461526,0.0705978015072708,0.11961043954707154,5.810215782441935,4.92268505014908,True
1.0,Mixed/ambiguous,19.132465094242427,0.014810457007694663,0.11894559580681077,5.794664692893458,4.998794300082915,True
