ratio,seed,energy,Bind,Sep_new,Sep_old,Inside,u_std,converged,n_iter
0,0,20.559449890989313,0.8530253588081314,0.5001017425457234,0.9397456013478905,0.9956179085617132,0.4717658841076741,True,46
0,1,20.538021779117106,0.8530570261513633,0.5001000381584296,0.9394843949299424,0.9956159836291704,0.4717212026618224,True,56
0,2,18.615273509278012,0.8525614603610946,0.5001049174529069,0.9502206380939314,0.9956128853171872,0.4756060227332782,True,24
0,3,20.559449890989168,0.8530253555403309,0.5001017425475403,0.9397456073941112,0.9956179171920364,0.47176589015664927,True,53
0,4,22.710445424528952,0.8532998441590743,0.5001068974416437,0.93024451284354,0.9956182505588137,0.4679885078422489,True,63
0,5,20.559449890988525,0.8530253579858119,0.5001017425477824,0.9397456023852269,0.9956179103088286,0.47176588532504793,True,44
0,6,22.710445424527787,0.8532998508168799,0.5001068974272815,0.9302445092193302,0.9956182471148207,0.46798850020739635,True,47
0,7,22.527995564673468,0.853375442618283,0.5001002059400399,0.9291899819578786,0.995617635581024,0.46794502121462994,True,66
0,8,22.710445424527606,0.8532998471138327,0.5001068974376367,0.9302445156378178,0.9956182613369157,0.4679885066835543,True,44
0,9,20.55944989098967,0.8530253590111535,0.5001017425453635,0.9397456011793993,0.9956179075686759,0.4717658838612151,True,45
0.0001,0,24.88430016507134,0.8533493907548257,0.5001109661489991,0.9204239797019185,0.9956187579068349,0.46424845990657515,True,53
0.0001,1,24.884300165070666,0.8533493919114256,0.5001109662240054,0.9204239749588339,0.9956187516860117,0.4642484565514858,True,65
0.0001,2,20.53832435249229,0.8530562504473551,0.5001003678743307,0.9394862779587987,0.995616785241576,0.47172264400397995,True,53
0.0001,3,20.538324352492413,0.8530562637076822,0.500100367847686,0.9394862519932681,0.9956167364105244,0.47172261861273007,True,52
0.0001,4,20.538179522867807,0.8530079433510582,0.5000989489608546,0.9391664469152174,0.9956095937154935,0.4717116170691829,True,55
0.0001,5,22.52834960990798,0.8533747125990447,0.5001006781213199,0.9291919234732273,0.9956182192365263,0.4679463986736674,True,59
0.0001,6,20.559751158328048,0.8530246049857646,0.5001020599641908,0.9397474392911517,0.9956186451914727,0.4717672870136426,True,44
0.0001,7,20.559751158325945,0.85302459286069,0.5001020599951415,0.939747462804269,0.9956186911962205,0.4717673099744248,True,46
0.0001,8,22.528349609909167,0.8533747124096526,0.5001006781195292,0.9291919241280908,0.9956182234904454,0.4679463993889771,True,50
0.0001,9,20.559751158326463,0.853024593335397,0.5001020599950318,0.939747462347759,0.9956186917785589,0.471767309358819,True,43
0.001,0,18.61776204335215,0.852553502254595,0.5001062236569538,0.950237997767631,0.9956230455629437,0.47562067773406896,True,24
0.001,1,18.61776204335215,0.8525535023565272,0.5001062236602515,0.9502379975348357,0.9956230461227565,0.4756206775271681,True,24
0.001,2,20.562462145725107,0.8530177074437129,0.5001049166991858,0.9397642067667163,0.9956257257377205,0.47178013160524146,True,50
0.001,3,20.56246214572583,0.853017710188882,0.5001049167081638,0.939764202249373,0.9956257142949451,0.47178012674599873,True,64
0.001,4,18.61776204335223,0.8525535023162935,0.5001062236571763,0.9502379976210643,0.9956230450229733,0.47562067756814336,True,23
0.001,5,20.541047093013855,0.8530493526376242,0.5001033348007302,0.9395030631641613,0.9956236870389302,0.47173545615480333,True,61
0.001,6,18.61776204335221,0.8525535011654157,0.5001062236517965,0.9502380001702194,0.9956230472441313,0.4756206799570543,True,23
0.001,7,20.541047093013187,0.8530493587006023,0.5001033347796995,0.9395030513807018,0.9956236728777637,0.47173544453106464,True,58
0.001,8,18.617762043352283,0.8525535015534609,0.5001062236591205,0.9502379990314087,0.9956230496509997,0.47562067912572353,True,22
0.001,9,22.53153557921527,0.8533681119330762,0.5001049273729093,0.9292094425679062,0.9956236724196884,0.4679588400380953,True,56
0.01,0,18.640119812501233,0.8524819160961087,0.500117946758982,0.9503941009732704,0.9957144784627516,0.47575248465732434,True,26
0.01,1,18.64011981250121,0.8524819148578149,0.500117946807519,0.9503941032272394,0.9957144867087456,0.47575248691742816,True,24
0.01,2,22.5633519503576,0.8533021819510633,0.5001473795168863,0.9293844333664804,0.9956779425717153,0.46808309318491836,True,46
0.01,3,24.923640556169303,0.8532789531272755,0.5001637762846122,0.9206248903460876,0.995668996728258,0.4643839374756723,True,50
