config,seed,energy,E_bd,E_cl,E_sep,Bind,Sep_new,Sep_old,Inside,u_std,converged
BD-only,0,16.40525268241108,16.40525268241108,0,0,0.8501077715286994,0.5000848972553236,0.95495804952747,0.9999945804252311,0.48001380280455574,True
BD-only,1,18.340696548670333,18.340696548670333,0,0,0.8504664612216624,0.5000870349561845,0.9440296572672072,0.9999994550993327,0.47623274992420345,True
BD-only,2,16.405252682411092,16.405252682411092,0,0,0.8501077713336095,0.5000848971492374,0.9549580499425224,0.9999945805100742,0.4800138031158762,True
BD-only,3,18.34069654867016,18.34069654867016,0,0,0.850466461426615,0.5000870371228683,0.9440296567264304,0.9999994547880766,0.4762327495534303,True
BD-only,4,18.36124529777257,18.36124529777257,0,0,0.8504387939050169,0.5000895984344982,0.9442813316127241,0.999999528209903,0.47627306306794037,True
BD-only,5,16.405252682411295,16.405252682411295,0,0,0.8501077719731562,0.5000848986278018,0.9549580488118588,0.9999945795261815,0.48001380211844447,True
BD-only,6,18.361245297774662,18.361245297774662,0,0,0.8504387951587249,0.5000896134257212,0.944281330692274,0.9999995251165054,0.47627306160004584,True
BD-only,7,16.405252682411128,16.405252682411128,0,0,0.8501077716688992,0.5000848972863613,0.9549580493132507,0.9999945803422597,0.48001380260399085,True
BD-only,8,18.340696548671623,18.340696548671623,0,0,0.8504664612918311,0.5000870386053007,0.944029657167178,0.9999994539663603,0.47623274978223346,True
BD-only,9,20.518633549226166,20.518633549226166,0,0,0.8505952978426765,0.5001084913156826,0.9346014494863547,0.9999999362401946,0.4725910327615278,True
BD+CL,0,20.559449890988862,18.399295402542446,2.160154488446416,0,0.8530253597233041,0.5001017425377957,0.9397455990253948,0.9956179038170258,0.4717658820496676,True
BD+CL,1,20.537875350352365,18.377231404730615,2.1606439456217488,0,0.8530087095906105,0.5000985677488639,0.9391645422402245,0.9956088546833328,0.471710196901391,True
BD+CL,2,24.88390227988243,22.733283172090793,2.150619107791637,0,0.853350107132953,0.5001104322905708,0.920421944687451,0.9956182507196415,0.4642470854197469,True
BD+CL,3,20.538021779117464,18.378798173543245,2.1592236055742204,0,0.8530570312817173,0.5001000381513035,0.9394843889242271,0.9956159732355537,0.4717211949157474,True
BD+CL,4,24.883902279884268,22.733282967655477,2.1506193122287924,0,0.8533501001627075,0.5001104323143168,0.9204219492053781,0.9956182495100346,0.46424709291086436,True
BD+CL,5,22.527995564673265,20.3781194790894,2.149876085583867,0,0.8533754425212521,0.5001002059524895,0.9291899820626603,0.9956176183614088,0.4679450211401053,True
BD+CL,6,24.883902279884314,22.73328302853386,2.1506192513504514,0,0.8533501022383427,0.5001104323125466,0.9204219501932058,0.9956182540755362,0.46424709147123655,True
BD+CL,7,20.537875350351847,18.377231317574093,2.160644032777755,0,0.8530087066259449,0.5000985677553907,0.9391645498577391,0.9956088650713899,0.47171020294478283,True
BD+CL,8,18.61527350927804,16.441461145234207,2.1738123640438327,0,0.852561458090368,0.5001049174507581,0.9502206426012164,0.9956128921131551,0.47560602707867017,True
BD+CL,9,18.615273509278055,16.4414612365832,2.1738122726948514,0,0.8525614611882344,0.5001049174533251,0.9502206366693611,0.9956128854269627,0.47560602144939695,True
BD+SEP,0,25.974046018792592,22.655761835380417,0,3.3182841834121737,0.8480014240335954,0.4968513010745234,0.9336343163317565,0.999906553911619,0.47459057853831726,False
BD+SEP,1,27.267730057208034,23.628158816452103,0,3.6395712407559326,0.8500363683437138,0.5041612935209473,0.9272085751848813,0.9909470658899416,0.4676744699989392,False
BD+SEP,2,27.106527158914357,23.58351242419723,0,3.5230147347171252,0.8475790641647631,0.49748414193978685,0.9295397053056574,1.00002695690078,0.4737400391948013,False
BD+SEP,3,21.2221914906538,18.547533968535124,0,2.6746575221186735,0.8519510760151259,0.5053199881117277,0.9465068495576267,0.9875317377829906,0.47342493210772674,False
BD+SEP,4,21.00681483617725,18.397198200236332,0,2.609616635940918,0.8492133206376538,0.5014670856439273,0.9478076672811817,0.9981203701916593,0.4784797210527602,False
BD+SEP,5,21.217998587162796,18.547826998550427,0,2.6701715886123703,0.8519570483098476,0.5056917460899547,0.9465965682277526,0.9872524668279009,0.47335326789042675,False
BD+SEP,6,21.219650711590223,18.54772993241179,0,2.671920779178431,0.8519794077348513,0.5057333895130656,0.9465615844164312,0.9873673143542769,0.47330141971048534,False
BD+SEP,7,18.50284780141956,16.465239975922938,0,2.0376078254966217,0.8480689244864689,0.5007863189106901,0.9592478434900674,0.9999676976896814,0.4835015306852461,False
BD+SEP,8,21.218862897354228,18.546661230270587,0,2.672201667083643,0.8518965808172372,0.505157444589471,0.9465559666583272,0.9879383374585539,0.47356835350627063,False
BD+SEP,9,21.006804634839828,18.397187098272582,0,2.609617536567246,0.8492130512689477,0.5014667036530801,0.9478076492686551,0.9981258239488967,0.47848018441276224,False
Full-SCC,0,28.293359755891494,22.640944147354947,2.27802603907185,3.3743895694646966,0.8490686898264032,0.4971961958261756,0.932512208610706,0.9987777637282244,0.47294581221928045,False
Full-SCC,1,23.319588314366584,18.444220057709035,2.2365466197692156,2.6388216368883346,0.85044911836538,0.5029633735474784,0.9472235672622336,0.992966437093223,0.47630691204013453,False
Full-SCC,2,20.818817290908747,16.44496820634668,2.287849470884752,2.085999613677316,0.8487436126676049,0.500965639283772,0.9582800077264538,0.9994892513410253,0.48244797530277395,False
Full-SCC,3,25.994239079745306,20.63845564045069,2.154788712743329,3.2009947265512873,0.8532080140898922,0.5052793596022507,0.9359801054689741,0.9870842342351249,0.4684721801015505,False
Full-SCC,4,23.438500067896754,18.552079163526265,2.1658742591290636,2.720546645241428,0.8528309047683902,0.505726994050291,0.9455890670951714,0.9864159946358739,0.4720524499994016,False
Full-SCC,5,20.81882811568223,16.44495021148365,2.287833575206654,2.0860443289919246,0.8487441381232894,0.5009655822825472,0.9582791134201615,0.999491958942196,0.48244721205375923,False
Full-SCC,6,20.81881740549612,16.444968297225692,2.2878493458718214,2.0859997623986066,0.8487436168000894,0.5009656448179749,0.9582800047520279,0.9994892316201804,0.4824479671083544,False
Full-SCC,7,20.81882699857257,16.444951971646756,2.2878351899711906,2.086039836954621,0.8487440847447218,0.5009655866050633,0.9582792032609077,0.9994917107446224,0.48244729024262045,False
Full-SCC,8,23.437521000176382,18.551143619652656,2.1662715408797717,2.7201058396439515,0.8528174079287985,0.5056779958849474,0.9455978832071209,0.9865487033186147,0.472093182552969,False
Full-SCC,9,23.435496837250657,18.55291642846093,2.1648762625652935,2.7177041462244342,0.8528648151336571,0.5061453197779434,0.9456459170755116,0.9863025157908685,0.4719266919073612,False
SEP-dominant,0,101.01359743329152,51.25667698838475,0,4.9756920444906765,0.8297384752996608,0.5074508055978064,0.9004861591101864,0.9853375854574341,0.4630832863433933,False
SEP-dominant,1,100.3898485047235,51.77677141524964,0,4.861307708947386,0.8278201372217575,0.5086548074246595,0.9027738458210522,0.9830568401920005,0.4649505527439363,False
SEP-dominant,2,61.741207168684916,28.61989282646278,0,3.3121314342222137,0.8534218018205493,0.516734686948015,0.9337573713155557,0.9634802342168897,0.45831630153309894,False
SEP-dominant,3,57.684838228353,27.474622224513606,0,3.02102160038394,0.8494697502356651,0.5119394365598849,0.9395795679923213,0.9584356530310981,0.4664742038408119,False
SEP-dominant,4,58.45727323317942,26.41132954258733,0,3.204594369059209,0.8501763082664291,0.5146518184424765,0.9359081126188158,0.9681148338334035,0.4643875990571311,False
SEP-dominant,5,46.2319500337082,22.795088389433793,0,2.3436861644274405,0.8568968849432462,0.5287542277819597,0.9531262767114509,0.9259078386827665,0.45743537109835963,False
SEP-dominant,6,46.2319500337087,22.795088389433946,0,2.3436861644274756,0.8568968849432468,0.5287542277819605,0.9531262767114507,0.9259078386827644,0.4574353710983584,False
SEP-dominant,7,55.70997888092658,27.4349313787038,0,2.8275047502222774,0.8635725181252708,0.542592330861141,0.9434499049955545,0.8900028923755064,0.43940081967225425,False
SEP-dominant,8,48.05140193751599,23.56434252358239,0,2.44870594139336,0.8530731543921901,0.5204623673092937,0.9510258811721328,0.9478929809576092,0.46459645962203655,False
SEP-dominant,9,46.23195003370905,22.795088389434074,0,2.3436861644274973,0.8568968849432472,0.528754227781961,0.9531262767114501,0.9259078386827629,0.45743537109835763,False
SEP-only,0,5.469716231458235,0,0,5.469716231458235,0.8240650595685213,0.5348140343003737,0.8906056753708352,0.8436189764939223,0.44710405022109595,False
SEP-only,1,4.804088860248632,0,0,4.804088860248632,0.8227438377767253,0.5359079070387488,0.9039182227950274,0.8752030745815779,0.4522099724024063,False
SEP-only,2,4.521282976174557,0,0,4.521282976174557,0.8228724335729019,0.5405309282521137,0.9095743404765088,0.9625942209595701,0.4545557612555579,False
SEP-only,3,4.62040079799641,0,0,4.62040079799641,0.8375372500884878,0.5418037693163132,0.9075919840400718,0.9134348217631313,0.4406515389094996,False
SEP-only,4,4.508321203751412,0,0,4.508321203751412,0.8352056977232829,0.5490647478550945,0.9098335759249718,0.9183584782243905,0.4418123347650096,False
SEP-only,5,4.251904368922831,0,0,4.251904368922831,0.8451104607920379,0.5542822838884409,0.9149619126215436,0.8766306533891264,0.4310814270657477,False
SEP-only,6,3.975692802942826,0,0,3.975692802942826,0.8472729142879001,0.5524654789842747,0.9204861439411435,0.911493871435332,0.4348856306649577,False
SEP-only,7,3.81595998224506,0,0,3.81595998224506,0.8575137460977285,0.5682425957620798,0.9236808003550988,0.9234752717518739,0.4185880165106142,False
SEP-only,8,3.8893934252081293,0,0,3.8893934252081293,0.8602328172318301,0.5725081774115128,0.9222121314958375,0.92922087433765,0.4132458761876326,False
SEP-only,9,3.914282694586092,0,0,3.914282694586092,0.8612084588714246,0.5732330437998255,0.9217143461082784,0.9177165228302896,0.4117459806590611,False
