grid,n,beta_bd,c,a_cl,energy,converged,Bind,Sep,Inside,n_core,delta_min,delta_max,delta_mean,n_deep,deep_mass_frac,u_min,u_max,u_std
8x8,64,5.0,0.3,2.0,2.7899677430378986,True,0.7745236459726613,0.8200383951406697,0.7935046619045708,0,nan,nan,,0,0.0,0.0,0.8715978328479639,0.3605878128400817
8x8,64,5.0,0.3,3.0,1.900119337071462,True,0.8287102588368882,0.8635193221686138,1.0,12,1,3,1.667,6,0.4894117111384874,0.0,1.0,0.40697925392054835
8x8,64,5.0,0.3,3.5,1.517822797847791,True,0.8600765925329225,0.8816174186094874,0.9275489537058608,13,1,2,1.385,5,0.3760022761834398,0.0,0.9826116536431414,0.40788998771927154
8x8,64,5.0,0.3,3.9,1.3787429115610346,True,0.8775530379666008,0.8820830164366995,1.0,14,1,3,1.786,8,0.5746802681875638,0.0,1.0,0.420120766528024
8x8,64,5.0,0.4,2.0,2.3123960443578624,True,0.8104177662731781,0.789694185647056,0.6466367797026447,0,nan,nan,,0,0.0,0.0043040976727784465,0.7952022803794284,0.3365632733022301
8x8,64,5.0,0.4,3.0,1.68955412412929,True,0.8499542733858554,0.838055438329097,0.8636485667777244,13,1,2,1.231,3,0.23045208669284528,0.0,0.9258719045056983,0.39527909610370093
8x8,64,5.0,0.4,3.5,1.2721797621499638,True,0.8754723210723739,0.8809781800205031,0.8685641225242785,14,1,2,1.071,1,0.07169245933753793,0.0,0.9291287570050681,0.4116608741944278
8x8,64,5.0,0.4,3.9,1.1077541792548846,True,0.8938796244804295,0.8894299042388433,0.8969960150598976,19,1,3,1.737,11,0.5756496166477325,0.0,0.9465879895375154,0.4206891683636296
8x8,64,5.0,0.5,2.0,2.5231449075504297,True,0.8081613630597755,0.8637256697739835,0.6748281238469975,0,nan,nan,,0,0.0,0.0,0.8443240575271692,0.3527668898512935
8x8,64,5.0,0.5,3.0,1.7370093983366632,True,0.8491893651673421,0.904828409645047,0.8598121148011347,13,1,1,1.000,0,0.0,0.0,0.9445426368571855,0.4116520467522035
8x8,64,5.0,0.5,3.5,1.455607846001147,True,0.8736165959587003,0.9144825997895454,0.9038715352273876,25,1,3,1.640,13,0.5159719161488092,0.0,0.9662187687197192,0.4269795495975464
8x8,64,5.0,0.5,3.9,1.2853185884515097,False,0.8892439776636829,0.9216388142380981,0.9600203620113139,26,1,4,2.154,18,0.6883323030368034,0.0,0.9819299747519543,0.44277001471338373
8x8,64,10.0,0.3,2.0,3.0546857350708208,True,0.7629940080368414,0.8313204376037931,0.8723134045366611,5,1,1,1.000,0,0.0,0.0,0.9390771155337405,0.3829058563204
8x8,64,10.0,0.3,3.0,2.0071356262527633,True,0.8242486034254876,0.8767300613776587,1.0,13,1,3,1.692,7,0.536244435410976,0.0,1.0,0.41549448299247416
8x8,64,10.0,0.3,3.5,1.6686706479087419,True,0.8536515789869519,0.8857831899660437,1.0,15,1,3,1.867,9,0.6071201207056063,0.0,1.0,0.42186521384566955
8x8,64,10.0,0.3,3.9,1.4231378927765685,True,0.8762145379137389,0.8991511714625421,0.9641192851304262,13,1,2,1.385,5,0.3801469645784228,0.0,0.9979510375436667,0.42153028426501427
8x8,64,10.0,0.4,2.0,2.808223366574579,True,0.7936352793019386,0.791208098826304,0.8019374307150002,0,nan,nan,,0,0.0,0.019367870788423433,0.8866561139302332,0.3655798882963111
8x8,64,10.0,0.4,3.0,1.7692454750754525,True,0.8397181390705966,0.8888695581320694,0.8869037737161368,19,1,3,1.737,11,0.5769252141405475,0.0,0.9382063896388576,0.4204372523673791
